0,10.15
400,69.95
800,75.35
1200,76.65
1600,76.65
2000,77.85
2400,79.25
2800,79.05
3200,80.1
3600,78.0
4000,79.2
4400,76.3
4800,74.85
5200,77.8
5600,79.8
6000,76.75
6400,77.5
6800,79.75
7200,81.0
7600,75.9
8000,81.4
8400,80.45
8800,79.25
9200,81.6
9600,78.75
10000,79.7
10400,81.85
10800,80.25
11200,81.05
11600,77.25
12000,78.5
12400,78.1
12800,79.3
13200,78.9
13600,79.35
14000,77.0
14400,78.95
14800,81.75
15200,80.85
15600,79.5
16000,81.7
16400,80.2
16800,77.5
17200,79.9
17600,77.75
18000,80.85
18400,81.85
18800,80.5
19200,78.1
19600,80.3
20000,78.85
20400,76.45
20800,78.1
21200,79.95
21600,78.85
22000,77.8
22400,79.35
22800,81.1
23200,80.95
23600,79.95
24000,80.9
